style_number, astro_sign
36061, Sagittarius
36955, Virgo
36055, Virgo
36707, Taurus
36919, Aries
36033, Aries
36025, Sagittarius
36047, Scorpio
36701, Aquarius
36513, ERROR
36019, Scorpio
36528, Virgo
36928, Virgo
36042, Virgo
36936, Sagittarius
36048, Sagittarius
36703, Capricorn
36575, Libra
36975, Libra
36075, Libra
36576, Cancer
36976, Cancer
36076, Cancer
36541, Gemini
36951, Gemini
36051, Gemini
36543, Taurus
36953, Taurus
36053, Taurus
36537, Aquarius
36057, Aquarius
36537, Aquarius
36957, Aquarius
36057, Aquarius
36518, Leo
36508, ERROR
36802, Leo
